Date,Open,High,Low,Close,Volume
2026-07-22 00:00:00-04:00,703.6199951171875,709.6500244140625,703.6199951171875,705.3499755859375,23692200
2026-07-23 00:00:00-04:00,694.6699829101562,698.6599731445312,687.7899780273438,691.9600219726562,44028600
2026-07-24 00:00:00-04:00,690.4099731445312,692.6300048828125,682.47998046875,684.22998046875,42876700
2026-07-27 00:00:00-04:00,691.6799926757812,692.2999877929688,675.9500122070312,682.1199951171875,42681500
2026-07-28 00:00:00-04:00,676.22998046875,679.4000244140625,667.8800048828125,675.489990234375,51398700
2026-07-29 00:00:00-04:00,675.510009765625,680.0499877929688,661.1400146484375,661.72998046875,57233300
2026-07-30 00:00:00-04:00,674.760009765625,685.1199951171875,673.2999877929688,683.5499877929688,66753700
2026-07-31 00:00:00-04:00,692.1099853515625,695.77001953125,680.0499877929688,687.989990234375,50540500
2026-08-03 00:00:00-04:00,688.2999877929688,701.5900268554688,685.8200073242188,700.0700073242188,44965100
2026-08-04 00:00:00-04:00,708.1599731445312,725.6599731445312,707.530029296875,723.8499755859375,59778600
2026-08-05 00:00:00-04:00,726.25,728.5399780273438,716.9199829101562,717.2999877929688,33540200
2026-08-06 00:00:00-04:00,710.8200073242188,719.3200073242188,708.5,714.6500244140625,33035900
2026-08-07 00:00:00-04:00,720.1500244140625,723.6300048828125,716.510009765625,723.030029296875,31070400
2026-08-10 00:00:00-04:00,722.3900146484375,724.6699829101562,720.3300170898438,720.8699951171875,26243200
2026-08-11 00:00:00-04:00,723.2899780273438,723.3499755859375,715.5,718.4500122070312,29286100
2026-08-12 00:00:00-04:00,727.0800170898438,727.25,722.9199829101562,723.7000122070312,29066000
2026-08-13 00:00:00-04:00,725.1500244140625,733.9600219726562,724.030029296875,732.0700073242188,31599700
2026-08-14 00:00:00-04:00,733.4099731445312,734.3900146484375,728.3200073242188,731.0700073242188,23790600
2026-08-17 00:00:00-04:00,732.9500122070312,734.5800170898438,729.27001953125,729.8699951171875,26452600
2026-08-18 00:00:00-04:00,720.2100219726562,722.1300048828125,715.9199829101562,717.510009765625,48997200
2026-08-19 00:00:00-04:00,720.3900146484375,721.5,712.6099853515625,716.0800170898438,35801700
2026-08-20 00:00:00-04:00,712.0900268554688,714.9400024414062,708.52001953125,710.9299926757812,33396400
2026-08-21 00:00:00-04:00,715.22998046875,715.6699829101562,709.2000122070312,713.4400024414062,33399400
2026-08-24 00:00:00-04:00,709.6599731445312,709.7899780273438,702.7000122070312,706.3200073242188,37443100
2026-08-25 00:00:00-04:00,711.219970703125,714.0399780273438,707.4500122070312,710.719970703125,23869600
2026-08-26 00:00:00-04:00,708.4099731445312,713.02001953125,707.969970703125,711.3699951171875,20392400
2026-08-27 00:00:00-04:00,716.9299926757812,721.3499755859375,714.530029296875,721.1099853515625,28723500
2026-08-28 00:00:00-04:00,719.739990234375,724.1300048828125,715.0900268554688,716.4299926757812,34105400
2026-08-31 00:00:00-04:00,715.1699829101562,717.5800170898438,713.1599731445312,716.760009765625,32237200
2026-09-01 00:00:00-04:00,707.3900146484375,712.2999877929688,704.6599731445312,707.6400146484375,35236100
2026-09-02 00:00:00-04:00,707.0999755859375,709.7999877929688,705.0999755859375,709.239990234375,23476200
2026-09-03 00:00:00-04:00,710.8499755859375,718.9199829101562,709.6900024414062,717.6699829101562,29449800
2026-09-04 00:00:00-04:00,719.3499755859375,721.8599853515625,716.5599975585938,718.9600219726562,32871100
2026-09-08 00:00:00-04:00,720.9099731445312,721.8900146484375,715.5700073242188,718.3599853515625,28341400
2026-09-09 00:00:00-04:00,716.4000244140625,719.7000122070312,714.02001953125,716.3099975585938,26763400
2026-09-10 00:00:00-04:00,707.5499877929688,712.0599975585938,706.8599853515625,708.6900024414062,31414400
2026-09-11 00:00:00-04:00,715.6799926757812,717.6300048828125,713.6300048828125,714.8800048828125,26598700
2026-09-14 00:00:00-04:00,,,,,34618101
